iter	RMSE
0	3.833021122
1	3.741437801
2	3.659718473
3	3.579509278
4	3.508453905
5	3.436098365
6	3.371824434
7	3.311449473
8	3.261246722
9	3.207808181
10	3.156842712
11	3.109440587
12	3.060291301
13	3.017590784
14	2.977633176
15	2.939728887
16	2.903590277
17	2.871012011
18	2.84188036
19	2.809403583
20	2.783199762
21	2.755009153
22	2.73273171
23	2.708539618
24	2.685197609
25	2.664219741
26	2.643437137
27	2.624855318
28	2.605476063
29	2.587077502
30	2.569882795
31	2.554484727
32	2.539279541
33	2.526392838
34	2.511380353
35	2.498490718
36	2.485886921
37	2.473141883
38	2.46240949
39	2.451379919
40	2.44012069
41	2.428916517
42	2.417411431
43	2.408590403
44	2.397999819
45	2.388330406
46	2.378937677
47	2.370268033
48	2.362664664
49	2.354002843
50	2.346089221
51	2.338371766
52	2.330208278
53	2.321663427
54	2.313598294
55	2.306575882
56	2.30030605
57	2.293308701
58	2.286843298
59	2.280135081
60	2.273181042
61	2.266264515
62	2.260377496
63	2.254417384
64	2.248389436
65	2.24328378
66	2.238498573
67	2.233683337
68	2.227967757
69	2.222193151
70	2.217861456
71	2.211326772
72	2.206303918
73	2.202005172
74	2.198072253
75	2.192741523
76	2.188278144
77	2.184452352
78	2.179954067
79	2.175551388
80	2.171358271
81	2.164689934
82	2.160293512
83	2.156436416
84	2.152262784
85	2.148523375
86	2.144439579
87	2.140985316
88	2.137789397
89	2.134032642
90	2.12951636
91	2.12645254
92	2.122818308
93	2.119283291
94	2.115752976
95	2.112585166
96	2.109713311
97	2.104910703
98	2.102224358
99	2.099471763
100	2.097218436
101	2.094081333
102	2.089975964
103	2.087583514
104	2.08498535
105	2.08085669
106	2.078352566
107	2.074669208
108	2.072033669
109	2.070274647
110	2.068034516
111	2.066317912
112	2.06278144
113	2.05976361
114	2.057367956
115	2.054805413
116	2.05236558
117	2.050250909
118	2.048194327
119	2.04648679
120	2.044494488
121	2.04128396
122	2.039341113
123	2.036960934
124	2.035490002
125	2.033656518
126	2.031317605
127	2.028414357
128	2.026777434
129	2.025566974
130	2.023771088
131	2.021960925
132	2.019937231
133	2.016846602
134	2.015091565
135	2.012967377
136	2.011022199
137	2.009792031
138	2.008208538
139	2.00668483
140	2.00528048
141	2.003630912
142	2.001782427
143	2.000157377
144	1.997608875
145	1.996650641
146	1.993852433
147	1.990849642
148	1.98915755
149	1.987870568
150	1.985873208
151	1.984090679
152	1.982307952
153	1.981058105
154	1.979267598
155	1.978023481
156	1.976341054
157	1.973264424
158	1.971455347
159	1.97108631
160	1.969942792
161	1.969080099
162	1.967871811
163	1.966474524
164	1.965769698
165	1.964322217
166	1.96162254
167	1.960505452
168	1.960299589
169	1.95882317
170	1.957365575
171	1.957175349
172	1.956077971
173	1.954551769
174	1.953151778
175	1.952184147
176	1.952003681
177	1.950367578
178	1.948827364
179	1.946751935
180	1.945926995
181	1.945487697
182	1.943560249
183	1.941189545
184	1.939025784
185	1.938760323
186	1.938602053
187	1.936300741
188	1.93428938
189	1.934140087
190	1.932595576
191	1.931050698
192	1.930885255
193	1.929464703
194	1.928912206
195	1.927524142
196	1.927379813
197	1.92681426
198	1.925487608
199	1.924100048
200	1.922802378
201	1.921780814
202	1.919998376
203	1.919880387
204	1.919078242
