iter	Passed	Remaining
0	162	162252
1	163	81690
2	164	54676
3	165	41168
4	166	33073
5	166	27665
6	167	23803
7	168	20916
8	169	18654
9	170	16843
10	170	15362
11	171	14127
12	172	13081
13	173	12194
14	173	11419
15	174	10737
16	175	10137
17	180	9844
18	181	9353
19	181	8910
20	182	8507
21	183	8143
22	183	7812
23	184	7507
24	185	7227
25	186	6970
26	186	6734
27	187	6512
28	188	6302
29	188	6108
30	189	5925
31	190	5755
32	190	5595
33	191	5444
34	192	5306
35	193	5175
36	194	5050
37	194	4932
38	195	4818
39	196	4716
40	197	4612
41	197	4515
42	198	4421
43	199	4332
44	200	4251
45	201	4171
46	201	4094
47	202	4019
48	203	3948
49	204	3879
50	204	3814
51	205	3750
52	206	3688
53	207	3630
54	207	3573
55	208	3519
56	209	3466
57	210	3416
58	211	3365
59	211	3316
60	212	3270
61	213	3224
62	213	3180
63	214	3138
64	215	3098
65	216	3058
66	216	3019
67	217	2977
68	218	2941
69	218	2905
70	219	2869
71	219	2834
72	220	2800
73	221	2767
74	221	2735
75	222	2704
76	223	2674
77	223	2645
78	224	2617
79	225	2589
80	225	2562
81	226	2535
82	227	2509
83	228	2487
84	228	2461
85	229	2437
86	229	2412
87	230	2389
88	231	2367
89	231	2345
90	232	2323
91	233	2302
92	234	2282
93	234	2262
94	235	2243
95	236	2223
96	240	2236
97	240	2217
98	241	2198
99	242	2180
100	242	2161
101	243	2141
102	243	2123
103	244	2106
104	245	2088
105	245	2072
106	246	2055
107	246	2039
108	247	2024
109	248	2009
110	248	1993
111	249	1979
112	250	1964
113	250	1950
114	251	1935
115	252	1921
116	252	1907
117	253	1893
118	253	1879
119	254	1865
120	255	1853
121	255	1840
122	256	1826
123	256	1815
124	257	1803
125	258	1792
126	259	1781
127	259	1768
128	260	1756
129	260	1746
130	261	1735
131	262	1724
132	263	1718
133	264	1707
134	264	1697
135	265	1687
136	266	1677
137	266	1666
138	267	1657
139	268	1647
140	268	1637
141	269	1628
142	270	1619
143	270	1610
144	271	1601
145	272	1592
146	272	1583
147	273	1575
148	274	1566
149	274	1557
150	275	1549
151	276	1540
152	276	1532
153	277	1524
154	278	1517
155	278	1509
156	279	1501
157	280	1494
158	281	1486
159	281	1479
160	282	1471
161	283	1464
162	283	1457
163	284	1449
164	285	1444
165	286	1437
166	286	1430
167	287	1423
168	288	1416
169	288	1409
170	289	1403
171	290	1396
172	290	1389
173	291	1383
174	292	1376
175	292	1370
176	293	1363
177	293	1357
178	294	1351
179	295	1344
180	295	1337
181	296	1331
182	296	1325
183	297	1319
184	298	1316
185	299	1311
186	300	1306
187	301	1300
188	301	1295
189	302	1289
190	303	1284
191	303	1278
192	304	1273
193	305	1268
194	305	1263
195	306	1257
196	307	1252
197	307	1246
198	308	1241
199	309	1236
200	309	1230
201	310	1225
202	310	1220
203	311	1215
204	312	1210
205	312	1205
206	313	1201
207	314	1196
208	314	1191
209	315	1186
210	316	1182
211	316	1177
212	317	1172
213	318	1168
214	318	1163
215	319	1158
216	319	1154
217	320	1149
218	321	1145
219	321	1140
220	322	1136
221	322	1131
